Covariance,Method,Iteration,Accuracy
full,kmeans,1,0.8781818181818182
full,kmeans,5,0.8754545454545455
full,kmeans,10,0.8859090909090909
full,kmeans,20,0.8781818181818182
full,kmeans,50,0.8727272727272727
full,kmeans,100,0.8795454545454545
full,em,1,0.8836363636363637
full,em,5,0.8836363636363637
full,em,10,0.8790909090909091
full,em,20,0.8872727272727273
full,em,50,0.8877272727272727
full,em,100,0.8845454545454545
tied,kmeans,1,0.8527272727272728
tied,kmeans,5,0.8522727272727273
tied,kmeans,10,0.850909090909091
tied,kmeans,20,0.8518181818181818
tied,kmeans,50,0.8472727272727273
tied,kmeans,100,0.8540909090909091
tied,em,1,0.889090909090909
tied,em,5,0.8922727272727272
tied,em,10,0.895
tied,em,20,0.889090909090909
tied,em,50,0.8995454545454545
tied,em,100,0.8977272727272727
diag,em,1,0.8981818181818182
diag,em,5,0.9113636363636364
diag,em,10,0.8981818181818182
diag,em,20,0.9018181818181819
diag,em,50,0.9081818181818182
diag,em,100,0.9045454545454545
spherical,kmeans,1,0.5640909090909091
spherical,kmeans,5,0.5486363636363636
spherical,kmeans,10,0.5422727272727272
spherical,kmeans,20,0.5640909090909091
spherical,kmeans,50,0.5677272727272727
spherical,kmeans,100,0.5868181818181818
spherical,em,1,0.7995454545454546
spherical,em,5,0.8027272727272727
spherical,em,10,0.7972727272727272
spherical,em,20,0.8077272727272727
spherical,em,50,0.8009090909090909
spherical,em,100,0.7990909090909091
